name,taskid,kind,started,resolved,locale
balrog-nl-macosx64-shippable/opt,BGuqdWygQNe4lZUDaXqHMw,balrog,2019-06-18 00:01:38.210000+00:00,2019-06-18 00:02:14.449000+00:00,
balrog-mk-win32-shippable/opt,BHQseEFgSt2QGU6w13sEmA,balrog,2019-06-18 01:20:07.063000+00:00,2019-06-18 01:21:04.990000+00:00,
balrog-an-linux64-shippable/opt,BHxZ-OiXSjaD8d1JNXbEYQ,balrog,2019-06-18 00:33:47.160000+00:00,2019-06-18 00:34:17.840000+00:00,
repackage-l10n-kk-win64-aarch64-shippable/opt,BI38XOJ7RdOFM5pfuAqfZA,repackage-l10n,2019-06-18 00:54:22.864000+00:00,2019-06-18 01:06:55.834000+00:00,
balrog-mr-win64-shippable/opt,BIH8H4R-RBCnVKnkN41lOw,balrog,2019-06-18 01:26:42.863000+00:00,2019-06-18 01:27:03.636000+00:00,
repackage-l10n-ach-win32-shippable/opt,BIWpeHMXRFSGdZVNzpJdrw,repackage-l10n,2019-06-18 00:23:13.633000+00:00,2019-06-18 00:34:46.877000+00:00,
partials-signing-tl-win32-shippable/opt,BIb33A5TQUqwrLdiIWX14g,partials-signing,2019-06-18 00:53:06.120000+00:00,2019-06-18 00:53:20.721000+00:00,
beetmover-repackage-en-CA-macosx64-shippable/opt,BIq_zH7AT0CVxTHoDJ2-LA,beetmover-repackage,2019-06-17 23:58:07.721000+00:00,2019-06-17 23:59:29.666000+00:00,en-CA
repackage-msi-lo-win64-shippable/opt,BJQ_ohR5R--vlIntQdGuTg,repackage-msi,2019-06-18 01:18:41.025000+00:00,2019-06-18 01:27:33.572000+00:00,
balrog-sk-linux64-shippable/opt,BJRqy94xRHKi3HwxQY4Amw,balrog,2019-06-18 00:32:24.853000+00:00,2019-06-18 00:32:52.475000+00:00,
partials-signing-kab-win64-shippable/opt,BJjzNXdaR2W7l9JiwCMcWw,partials-signing,2019-06-18 01:02:42.673000+00:00,2019-06-18 01:03:03.777000+00:00,
beetmover-repackage-gl-win32-shippable/opt,BJlOlAOuSFOUikGkNJ4pzQ,beetmover-repackage,2019-06-18 01:17:20.702000+00:00,2019-06-18 01:18:41.999000+00:00,gl
beetmover-checksums-de-linux-shippable/opt,BJsl9DbiR2uBSiZ50HxdEg,beetmover-checksums,2019-06-18 00:55:59.782000+00:00,2019-06-18 00:56:13.607000+00:00,de
repackage-l10n-gd-win64-aarch64-shippable/opt,BKzeL_fnQp2QvuScVvQ8yw,repackage-l10n,2019-06-18 00:55:27.457000+00:00,2019-06-18 01:08:25.524000+00:00,
balrog-ru-linux-shippable/opt,BL9HdFe4TT2Dk5xonMzyXA,balrog,2019-06-18 00:37:28.896000+00:00,2019-06-18 00:37:44.160000+00:00,
beetmover-checksums-he-win64-aarch64-shippable/opt,BL9rOBt8SfGgT0-CsWImlQ,beetmover-checksums,2019-06-18 01:33:23.842000+00:00,2019-06-18 01:33:36.295000+00:00,he
mar-signing-l10n-cak-win64-aarch64-shippable/opt,BLJwQfqyR86-h4hcopfJ7Q,mar-signing-l10n,2019-06-18 01:18:21.378000+00:00,2019-06-18 01:18:35.536000+00:00,
partials-signing-wo-win64-aarch64-shippable/opt,BLh56_oYQTu6dJIiOIKWpg,partials-signing,2019-06-18 01:15:10.794000+00:00,2019-06-18 01:16:05.117000+00:00,
repackage-l10n-bs-win64-aarch64-shippable/opt,BLtvm1DaRxq1pJQ7yru1jA,repackage-l10n,2019-06-18 01:00:58.156000+00:00,2019-06-18 01:12:05.061000+00:00,
balrog-nn-NO-linux64-shippable/opt,BLzDG9XhR7mVsk5nFZ4mMA,balrog,2019-06-18 00:30:03.405000+00:00,2019-06-18 00:30:24.617000+00:00,
