name,taskid,kind,started,resolved
test-linux64-shippable-qr/opt-web-platform-tests-e10s-9,Ag1ICIofQxOI6UiHb-Mjwg,test,2019-06-17 12:04:24.211000+00:00,2019-06-17 12:39:47.847000+00:00
test-android-hw-g5-7-0-arm7-api-16/opt-raptor-tp6m-5-geckoview-e10s,AgVjAM44QBGNyBA5J78WNA,test,2019-06-17 11:22:19.279000+00:00,2019-06-17 11:31:38.629000+00:00
test-linux64-shippable-qr/opt-reftest-e10s-6,AgX_8jMITWaHqBiDs4G49A,test,2019-06-17 12:04:57.831000+00:00,2019-06-17 12:25:52.004000+00:00
test-linux64-shippable/opt-raptor-tp6-3-chromium-cold-e10s,AhHrp4TXQwms9lJA92nRVg,test,2019-06-17 12:04:24.837000+00:00,2019-06-17 12:26:34.654000+00:00
test-linux64/debug-mochitest-e10s-6,AhlLh15rSOCTDoA10XKTdg,test,2019-06-17 10:59:44.654000+00:00,2019-06-17 11:13:36.369000+00:00
test-android-em-7.0-x86_64/opt-gtest-1proc,Aho4mQAXQzerPi1WFYd4WA,test,2019-06-17 11:00:42.949000+00:00,2019-06-17 11:06:19.887000+00:00
repackage-msi-win32-shippable/opt,AhqVqfRGTsWjN2qk-IW0-g,repackage-msi,2019-06-17 12:10:19.340000+00:00,2019-06-17 12:18:36.471000+00:00
test-windows10-64/debug-web-platform-tests-e10s-5,AitkZKR_RX2EPcpF00AvVg,test,2019-06-17 11:28:15.150000+00:00,2019-06-17 12:10:46.403000+00:00
test-windows10-64-qr/opt-mochitest-webgl1-core-e10s,AjP4nIEnQca0dDUuXauLQg,test,2019-06-17 11:27:44.709000+00:00,2019-06-17 11:34:28.215000+00:00
test-windows10-aarch64/opt-web-platform-tests-e10s-9,Aj_zXH9MQmG-fOOldi29Nw,test,2019-06-17 11:53:05.357000+00:00,2019-06-17 12:47:16.344000+00:00
test-linux64/opt-raptor-stylebench-firefox-e10s,Ak_TP3KAQmuyFNRArptDzA,test,2019-06-17 10:47:00.176000+00:00,2019-06-17 10:50:41.162000+00:00
test-linux64-asan/opt-reftest-e10s-5,AkcHm8jgTcCU6bfJdeqsKw,test,2019-06-17 10:46:59.701000+00:00,2019-06-17 11:18:03.732000+00:00
repackage-signing-msi-win64-shippable/opt,AkqbwMRVRyOIK0DSFGHr7Q,repackage-signing-msi,2019-06-17 13:07:41.546000+00:00,2019-06-17 13:08:17.268000+00:00
test-android-em-4.3-arm7-api-16/debug-reftest-1proc-28,AlB8Fo-ARFC4SNTwMITDdQ,test,2019-06-17 11:26:22.654000+00:00,2019-06-17 12:08:06.718000+00:00
test-android-em-4.3-arm7-api-16/pgo-mochitest-1proc-9,AlI49CdLSi-6K-EpSz7sog,test,2019-06-17 11:57:13.480000+00:00,2019-06-17 12:44:19.330000+00:00
test-android-hw-p2-8-0-android-aarch64/pgo-raptor-tp6m-7-geckoview-e10s,AlL6dDnXSqyRdEDeel6eRA,test,2019-06-17 12:08:12.403000+00:00,2019-06-17 12:15:57.617000+00:00
test-android-em-4.3-arm7-api-16/pgo-mochitest-gpu-1proc,AmXfBmJxRd6PeOEpYbqzOQ,test,2019-06-17 11:57:13.887000+00:00,2019-06-17 12:08:03.559000+00:00
test-windows10-64-qr/debug-reftest-e10s-1,AmsVpRCTTY6FO5IKDrE__w,test,2019-06-17 11:40:07.148000+00:00,2019-06-17 12:14:09.102000+00:00
test-android-hw-p2-8-0-arm7-api-16/pgo-raptor-tp6m-2-geckoview-cold-e10s,AmxDAcvkThqRSXfSA9Mi7g,test,2019-06-17 12:13:59.265000+00:00,2019-06-17 12:36:06.234000+00:00
test-android-em-7.0-x86/opt-web-platform-tests-reftests-1proc-1,AncKoxw8SfCcdwFt-zIzag,test,2019-06-17 10:43:12.351000+00:00,2019-06-17 11:39:05.894000+00:00
test-linux64/opt-raptor-tp6-binast-1-firefox-e10s,ApZ-TRriQ6-oMINqwFOd2g,test,2019-06-17 10:47:00.104000+00:00,2019-06-17 10:49:46.350000+00:00
test-android-em-4.3-arm7-api-16/debug-mochitest-chrome-1proc-3,Apc4meX7TiylR1q9D-GCwA,test,2019-06-17 10:47:10.462000+00:00,2019-06-17 11:20:33.248000+00:00
test-linux64-ccov/debug-mochitest-e10s-9,AqYTZRsuQjC9kM0XRhH4rQ,test,2019-06-17 11:08:30.881000+00:00,2019-06-17 11:50:10.454000+00:00
test-windows10-64-qr/opt-mochitest-media-e10s,Ar_JpeEQTeekLdN4IQnISQ,test,2019-06-17 11:26:04.968000+00:00,2019-06-17 12:03:05.798000+00:00
test-android-em-4.3-arm7-api-16/pgo-mochitest-1proc-17,AsQsNlXbQGOfyZXc3wY0ZA,test,2019-06-17 11:57:13.475000+00:00,2019-06-17 12:24:23.236000+00:00
test-linux64-asan/opt-web-platform-tests-reftests-e10s-4,Aspgpe_xR9OeU-8c37CkRw,test,2019-06-17 10:45:09.493000+00:00,2019-06-17 11:16:06.336000+00:00
test-android-em-4.3-arm7-api-16/debug-reftest-1proc-36,At4QVUg9T9Cm5a_PULkVJg,test,2019-06-17 10:47:39.381000+00:00,2019-06-17 11:35:26.815000+00:00
test-linux64/opt-raptor-motionmark-animometer-firefox-e10s,AtlPNUF3SRWGJIIMuIlBSw,test,2019-06-17 10:46:59.833000+00:00,2019-06-17 11:00:10.040000+00:00
test-linux64/opt-web-platform-tests-e10s-9,Au2FMYEYS-SVpUiV2GEA0A,test,2019-06-17 10:54:31.955000+00:00,2019-06-17 11:26:10.746000+00:00
test-macosx1014-64-qr/debug-reftest-e10s-3,AuUB2kHET_GfI0bBbGZZBA,test,2019-06-17 10:53:10.585000+00:00,2019-06-17 11:09:43.915000+00:00
test-windows7-32/debug-xpcshell-e10s-2,AudYOXOOSiipMqEyHvblwQ,test,2019-06-17 11:31:41.102000+00:00,2019-06-17 12:02:55.622000+00:00
test-android-hw-g5-7-0-arm7-api-16/pgo-raptor-tp6m-10-geckoview-e10s,AwVGck-fRGKZrpmWLB6qyQ,test,2019-06-17 12:01:40.336000+00:00,2019-06-17 12:08:11.570000+00:00
test-android-em-4.3-arm7-api-16/opt-reftest-1proc-20,Aw_mVOwVSImAf914Gomngg,test,2019-06-17 11:14:03.693000+00:00,2019-06-17 11:53:19.735000+00:00
test-macosx1014-64-shippable/opt-reftest-e10s-3,AxIq6hN7SjmapLTsXEdNMA,test,2019-06-17 11:25:06.308000+00:00,2019-06-17 11:32:58.654000+00:00
test-windows7-32-shippable/opt-raptor-stylebench-chromium-e10s,Ax_MO9erRMyTyLBgrEUB-A,test,2019-06-17 11:51:35.050000+00:00,2019-06-17 11:59:33.447000+00:00
test-macosx1014-64-shippable/opt-marionette-e10s,AxqcKY9aQDy_biLyYEB78w,test,2019-06-17 11:25:06.528000+00:00,2019-06-17 11:36:46.760000+00:00
test-linux64/opt-raptor-wasm-misc-baseline-firefox-e10s,AxtCyO5ZT_WjcsUiuLArNg,test,2019-06-17 10:46:59.832000+00:00,2019-06-17 10:55:45.552000+00:00
test-linux32-shippable/opt-web-platform-tests-e10s-2,AyoEVTMRTB6Ib2biHi4wFg,test,2019-06-17 11:51:40.308000+00:00,2019-06-17 12:21:35.217000+00:00
test-linux64-shippable/opt-gtest-1proc,AzRSdHLPS1K5ZqXDe7i7LQ,test,2019-06-17 12:04:23.900000+00:00,2019-06-17 12:21:54.754000+00:00
test-linux64-ccov/debug-reftest-no-accel-e10s-8,B6-jlcqYQGiSvMs8IeYMmA,test,2019-06-17 11:07:24.326000+00:00,2019-06-17 11:27:16.345000+00:00
test-android-em-7.0-x86_64/opt-reftest-e10s-3,B61nPW9iQlCpS57bPeU_Tw,test,2019-06-17 11:02:52.866000+00:00,2019-06-17 11:18:42.315000+00:00
test-linux64/opt-web-platform-tests-wdspec-e10s-2,B7VD2NuMS02YkzOZ-p70oA,test,2019-06-17 10:54:30.310000+00:00,2019-06-17 11:17:13.601000+00:00
test-macosx1014-64-qr/debug-reftest-e10s-2,B8-e6ML_TU6jsawgBjpR8Q,test,2019-06-17 10:53:10.731000+00:00,2019-06-17 11:10:06.183000+00:00
test-linux64-qr/debug-mochitest-media-spi-e10s-2,B8TzWTiORwCxUhN3aa_mfw,test,2019-06-17 10:59:40.498000+00:00,2019-06-17 11:52:25.307000+00:00
test-android-hw-p2-8-0-arm7-api-16/pgo-raptor-tp6m-5-geckoview-e10s,B8ykolDBSYeZKTtH1mB2uw,test,2019-06-17 12:20:09.024000+00:00,2019-06-17 12:27:13.099000+00:00
test-windows7-32/opt-mochitest-media-e10s-2,BAQd62YDSb6UDMUNPdNALA,test,2019-06-17 11:20:44.969000+00:00,2019-06-17 11:44:09.967000+00:00
test-android-hw-p2-8-0-android-aarch64/pgo-raptor-tp6m-3-geckoview-cold-e10s,BBUeFuClSTCN6cIdy5Nktg,test,2019-06-17 11:57:32.768000+00:00,2019-06-17 12:19:58.474000+00:00
test-windows7-32-shippable/opt-web-platform-tests-e10s-1,BBjJee_TTkeDduXt182xUQ,test,2019-06-17 11:51:35.542000+00:00,2019-06-17 12:25:34.797000+00:00
test-android-em-7.0-x86_64/opt-reftest-e10s-4,BBmzu2RHS2mgFNsW0h9sHw,test,2019-06-17 10:59:35.086000+00:00,2019-06-17 11:15:24.026000+00:00
test-linux64-qr/opt-xpcshell-e10s-1,BCrDTZP4REKYfs6jghjNIA,test,2019-06-17 10:57:00.042000+00:00,2019-06-17 11:10:04.005000+00:00
test-android-em-7.0-x86/opt-web-platform-tests-1proc-18,BEDULAc2QbKEKIzKuwJlew,test,2019-06-17 10:43:12.353000+00:00,2019-06-17 11:30:17.721000+00:00
test-android-em-4.3-arm7-api-16/opt-mochitest-1proc-12,BEf6srZdR7K2kKjT55wESA,test,2019-06-17 11:14:08.277000+00:00,2019-06-17 11:48:27.793000+00:00
repackage-macosx64-shippable/opt,BF44Kif0T6yRNlVS7Y9YgA,repackage,2019-06-17 11:28:15.660000+00:00,2019-06-17 11:31:49.244000+00:00
test-windows10-64-shippable/opt-raptor-tp6-9-firefox-e10s,BFu5SgU9Q5-gFpYEIiBMtQ,test,2019-06-17 12:10:43.863000+00:00,2019-06-17 12:20:36.617000+00:00
test-windows7-32/debug-mochitest-media-spi-e10s-3,BG3K8hWkTpCm6AmYxIJbIw,test,2019-06-17 11:26:14.539000+00:00,2019-06-17 11:40:43.955000+00:00
test-linux64/debug-reftest-sw-e10s-6,BGqztoCjRmSMvplZAXZWiA,test,2019-06-17 10:59:52.869000+00:00,2019-06-17 11:39:19.416000+00:00
test-macosx1014-64-shippable/opt-web-platform-tests-wdspec-e10s-1,BHEV5jBaRraktqJ2glo_Kw,test,2019-06-17 11:25:06.528000+00:00,2019-06-17 11:43:19.627000+00:00
test-linux64-ccov/debug-xpcshell-e10s-1,BIngboXDSzirKrATWDxgcQ,test,2019-06-17 11:08:31.819000+00:00,2019-06-17 11:36:26.380000+00:00
test-linux64/debug-xpcshell-e10s-1,BIvwxGonQiiO68i2zrY02A,test,2019-06-17 11:00:01.394000+00:00,2019-06-17 11:24:21.916000+00:00
test-linux64/debug-web-platform-tests-wdspec-e10s-1,BJEL05rYQmafWrey4lDx2w,test,2019-06-17 11:03:18.150000+00:00,2019-06-17 11:47:41.449000+00:00
test-windows10-64-asan/opt-mochitest-browser-chrome-e10s-3,BJY6W393R_WaVIhpqVN1qw,test,2019-06-17 11:08:28.984000+00:00,2019-06-17 11:43:28.236000+00:00
test-windows10-64-ccov/debug-web-platform-tests-e10s-12,BJa7lXgjRziIJ7X-bBlL0A,test,2019-06-17 11:54:36.514000+00:00,2019-06-17 13:52:11.742000+00:00
